GEO_ID,NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA
Geography,Geographic Area Name,Estimate!!Total,Annotation of Estimate!!Total,Margin of Error!!Total,Annotation of Margin of Error!!Total
0500000US48411,"San Saba County, Texas",5881,null,*****,*****
0500000US48413,"Schleicher County, Texas",3171,null,*****,*****
0500000US48415,"Scurry County, Texas",17314,null,*****,*****
0500000US48417,"Shackelford County, Texas",3323,null,*****,*****
0500000US48419,"Shelby County, Texas",25705,null,*****,*****
0500000US48421,"Sherman County, Texas",3069,null,*****,*****
0500000US48423,"Smith County, Texas",219745,null,*****,*****
0500000US48425,"Somervell County, Texas",8673,null,*****,*****
0500000US48427,"Starr County, Texas",63008,null,*****,*****
0500000US48429,"Stephens County, Texas",9787,null,*****,*****
0500000US48431,"Sterling County, Texas",1233,null,145,null
0500000US48433,"Stonewall County, Texas",1233,null,195,null
0500000US48435,"Sutton County, Texas",3936,null,*****,*****
0500000US48437,"Swisher County, Texas",7639,null,*****,*****
0500000US48439,"Tarrant County, Texas",1947529,null,*****,*****
0500000US48441,"Taylor County, Texas",135234,null,*****,*****
0500000US48443,"Terrell County, Texas",778,null,201,null
0500000US48445,"Terry County, Texas",12724,null,*****,*****
0500000US48447,"Throckmorton County, Texas",1520,null,135,null
0500000US48449,"Titus County, Texas",32592,null,*****,*****
0500000US48451,"Tom Green County, Texas",116264,null,*****,*****
0500000US48453,"Travis County, Texas",1148176,null,*****,*****
0500000US48455,"Trinity County, Texas",14360,null,*****,*****
0500000US48457,"Tyler County, Texas",21371,null,*****,*****
0500000US48459,"Upshur County, Texas",40295,null,*****,*****
0500000US48461,"Upton County, Texas",3475,null,*****,*****
0500000US48463,"Uvalde County, Texas",27055,null,*****,*****
0500000US48465,"Val Verde County, Texas",48862,null,*****,*****
0500000US48467,"Van Zandt County, Texas",53070,null,*****,*****
0500000US48469,"Victoria County, Texas",90989,null,*****,*****
0500000US48471,"Walker County, Texas",69926,null,*****,*****
0500000US48473,"Waller County, Texas",47049,null,*****,*****
0500000US48475,"Ward County, Texas",11396,null,*****,*****
0500000US48477,"Washington County, Texas",34544,null,*****,*****
0500000US48479,"Webb County, Texas",266006,null,*****,*****
0500000US48481,"Wharton County, Texas",41377,null,*****,*****
0500000US48483,"Wheeler County, Texas",5642,null,*****,*****
0500000US48485,"Wichita County, Texas",132148,null,*****,*****
0500000US48487,"Wilbarger County, Texas",13061,null,*****,*****
0500000US48489,"Willacy County, Texas",21944,null,*****,*****
0500000US48491,"Williamson County, Texas",490619,null,*****,*****
0500000US48493,"Wilson County, Texas",46444,null,*****,*****
0500000US48495,"Winkler County, Texas",7723,null,*****,*****
0500000US48497,"Wise County, Texas",62089,null,*****,*****
0500000US48499,"Wood County, Texas",43198,null,*****,*****
0500000US48501,"Yoakum County, Texas",8316,null,*****,*****
0500000US48503,"Young County, Texas",18275,null,*****,*****
0500000US48505,"Zapata County, Texas",14335,null,*****,*****
0500000US48507,"Zavala County, Texas",12107,null,*****,*****
