GEO_ID,NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA
Geography,Geographic Area Name,Estimate!!Total,Annotation of Estimate!!Total,Margin of Error!!Total,Annotation of Margin of Error!!Total
0500000US48001,"Anderson County, Texas",58133,null,*****,*****
0500000US48003,"Andrews County, Texas",18184,null,*****,*****
0500000US48005,"Angelina County, Texas",86584,null,*****,*****
0500000US48007,"Aransas County, Texas",24149,null,*****,*****
0500000US48009,"Archer County, Texas",8616,null,*****,*****
0500000US48011,"Armstrong County, Texas",1980,null,114,null
0500000US48013,"Atascosa County, Texas",48684,null,*****,*****
0500000US48015,"Austin County, Texas",30132,null,*****,*****
0500000US48017,"Bailey County, Texas",6968,null,*****,*****
0500000US48019,"Bandera County, Texas",20839,null,*****,*****
0500000US48021,"Bastrop County, Texas",94887,null,*****,*****
0500000US48023,"Baylor County, Texas",3491,null,*****,*****
0500000US48025,"Bee County, Texas",31191,null,*****,*****
0500000US48027,"Bell County, Texas",364703,null,*****,*****
0500000US48029,"Bexar County, Texas",1990522,null,*****,*****
0500000US48031,"Blanco County, Texas",11313,null,*****,*****
0500000US48033,"Borden County, Texas",550,null,107,null
0500000US48035,"Bosque County, Texas",18275,null,*****,*****
0500000US48037,"Bowie County, Texas",92957,null,*****,*****
0500000US48039,"Brazoria County, Texas",368575,null,*****,*****
0500000US48041,"Brazos County, Texas",231095,null,*****,*****
0500000US48043,"Brewster County, Texas",9501,null,*****,*****
0500000US48045,"Briscoe County, Texas",1266,null,150,null
0500000US48047,"Brooks County, Texas",7100,null,*****,*****
0500000US48049,"Brown County, Texas",38085,null,*****,*****
0500000US48051,"Burleson County, Texas",17687,null,*****,*****
0500000US48053,"Burnet County, Texas",48424,null,*****,*****
0500000US48055,"Caldwell County, Texas",45286,null,*****,*****
0500000US48057,"Calhoun County, Texas",20367,null,*****,*****
0500000US48059,"Callahan County, Texas",13781,null,*****,*****
0500000US48061,"Cameron County, Texas",420554,null,*****,*****
0500000US48063,"Camp County, Texas",12498,null,*****,*****
0500000US48065,"Carson County, Texas",5856,null,*****,*****
0500000US48067,"Cass County, Texas",28692,null,*****,*****
0500000US48069,"Castro County, Texas",7450,null,*****,*****
0500000US48071,"Chambers County, Texas",45257,null,*****,*****
0500000US48073,"Cherokee County, Texas",50564,null,*****,*****
0500000US48075,"Childress County, Texas",6784,null,*****,*****
0500000US48077,"Clay County, Texas",10236,null,*****,*****
0500000US48079,"Cochran County, Texas",2553,null,*****,*****
0500000US48081,"Coke County, Texas",3288,null,*****,*****
0500000US48083,"Coleman County, Texas",7848,null,*****,*****
0500000US48085,"Collin County, Texas",1039812,null,*****,*****
0500000US48087,"Collingsworth County, Texas",2948,null,174,null
0500000US48089,"Colorado County, Texas",20559,null,*****,*****
0500000US48091,"Comal County, Texas",156257,null,*****,*****
0500000US48093,"Comanche County, Texas",13540,null,*****,*****
0500000US48095,"Concho County, Texas",3181,null,*****,*****
0500000US48097,"Cooke County, Texas",41215,null,*****,*****
0500000US48099,"Coryell County, Texas",81692,null,*****,*****
0500000US48101,"Cottle County, Texas",1560,null,244,null
0500000US48103,"Crane County, Texas",4654,null,*****,*****
0500000US48105,"Crockett County, Texas",2939,null,314,null
0500000US48107,"Crosby County, Texas",5265,null,*****,*****
0500000US48109,"Culberson County, Texas",2209,null,*****,*****
0500000US48111,"Dallam County, Texas",7135,null,*****,*****
0500000US48113,"Dallas County, Texas",2604722,null,*****,*****
0500000US48115,"Dawson County, Texas",12371,null,*****,*****
0500000US48117,"Deaf Smith County, Texas",18675,null,*****,*****
0500000US48119,"Delta County, Texas",5251,null,*****,*****
0500000US48121,"Denton County, Texas",885012,null,*****,*****
0500000US48123,"DeWitt County, Texas",19834,null,*****,*****
0500000US48125,"Dickens County, Texas",1569,null,174,null
0500000US48127,"Dimmit County, Texas",8840,null,*****,*****
0500000US48129,"Donley County, Texas",3266,null,*****,*****
0500000US48131,"Duval County, Texas",10001,null,*****,*****
0500000US48133,"Eastland County, Texas",17785,null,*****,*****
0500000US48135,"Ector County, Texas",161258,null,*****,*****
0500000US48137,"Edwards County, Texas",1366,null,197,null
0500000US48139,"Ellis County, Texas",187984,null,*****,*****
0500000US48141,"El Paso County, Texas",860485,null,*****,*****
0500000US48143,"Erath County, Texas",42288,null,*****,*****
0500000US48145,"Falls County, Texas",17074,null,*****,*****
0500000US48147,"Fannin County, Texas",35453,null,*****,*****
0500000US48149,"Fayette County, Texas",24445,null,*****,*****
0500000US48151,"Fisher County, Texas",3720,null,*****,*****
0500000US48153,"Floyd County, Texas",5478,null,*****,*****
0500000US48155,"Foard County, Texas",1087,null,175,null
0500000US48157,"Fort Bend County, Texas",806497,null,*****,*****
0500000US48159,"Franklin County, Texas",10413,null,*****,*****
0500000US48161,"Freestone County, Texas",19478,null,*****,*****
0500000US48163,"Frio County, Texas",18428,null,*****,*****
0500000US48165,"Gaines County, Texas",21167,null,*****,*****
0500000US48167,"Galveston County, Texas",347084,null,*****,*****
0500000US48169,"Garza County, Texas",5734,null,244,null
0500000US48171,"Gillespie County, Texas",26730,null,*****,*****
0500000US48173,"Glasscock County, Texas",1221,null,146,null
0500000US48175,"Goliad County, Texas",7085,null,*****,*****
0500000US48177,"Gonzales County, Texas",19720,null,*****,*****
0500000US48179,"Gray County, Texas",21398,null,*****,*****
0500000US48181,"Grayson County, Texas",134205,null,*****,*****
0500000US48183,"Gregg County, Texas",123744,null,*****,*****
0500000US48185,"Grimes County, Texas",28878,null,*****,*****
0500000US48187,"Guadalupe County, Texas",169477,null,*****,*****
0500000US48189,"Hale County, Texas",32879,null,*****,*****
0500000US48191,"Hall County, Texas",2875,null,*****,*****
0500000US48193,"Hamilton County, Texas",8211,null,*****,*****
0500000US48195,"Hansford County, Texas",5332,null,*****,*****
0500000US48197,"Hardeman County, Texas",3567,null,*****,*****
0500000US48199,"Hardin County, Texas",56124,null,*****,*****
0500000US48201,"Harris County, Texas",4697957,null,*****,*****
0500000US48203,"Harrison County, Texas",68674,null,*****,*****
0500000US48205,"Hartley County, Texas",5465,null,*****,*****
0500000US48207,"Haskell County, Texas",5420,null,*****,*****
0500000US48209,"Hays County, Texas",234573,null,*****,*****
0500000US48211,"Hemphill County, Texas",3450,null,*****,*****
0500000US48213,"Henderson County, Texas",81717,null,*****,*****
0500000US48215,"Hidalgo County, Texas",865677,null,*****,*****
0500000US48217,"Hill County, Texas",35686,null,*****,*****
